compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID135403821,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CID32756,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(=O)(=O)[O-])[C@@H]1O[C@@H]1O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3950,O=NN(CCCl)C(=O)NC1CCCCC1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID3878,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID8944,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID2724385,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CID5472,Clc1ccccc1CN1CCc2sccc2C1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4495,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID68712,C1COC(NC(C2CC2)C2CC2)=N1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID5467,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CID5566,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID24477,O=S([O-])([O-])=S,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID72160,C[N@+]12CCCC[C@@H]1CCC(=C(c1cccs1)c1cccs1)C2,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
CID14052,CCC(CO)NCCNC(CC)CO,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CID3948,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID154059,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
CID6883,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID4158,COC(=O)C(c1ccccc1)C1CCCCN1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CID3821,CNC1(c2ccccc2Cl)CCCCC1=O,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID2141,NCCCNCCSP(=O)(O)O,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CID2130,NC12CC3CC(CC(C3)C1)C2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
