,spid,direction,hit,meas
148,167,down,0,CellCount
150,168,down,4,CellCount
1290,714,down,0,CellCount
152,169,down,0,CellCount
140,163,down,3,CellCount
126,157,down,0,CellCount
186,184,down,0,CellCount
188,185,down,0,CellCount
222,200,down,0,CellCount
1254,697,down,0,CellCount
224,201,down,0,CellCount
226,202,down,0,CellCount
1252,695,down,0,CellCount
228,203,down,0,CellCount
230,204,down,0,CellCount
1250,694,down,0,CellCount
232,205,down,0,CellCount
234,21,down,0,CellCount
1248,693,down,0,CellCount
236,216,down,0,CellCount
238,217,down,0,CellCount
1246,692,down,0,CellCount
240,218,down,0,CellCount
242,219,down,0,CellCount
1244,691,down,0,CellCount
244,22,down,0,CellCount
246,220,down,0,CellCount
220,20,down,0,CellCount
1256,698,down,0,CellCount
218,199,down,1,CellCount
216,198,down,0,CellCount
190,186,down,0,CellCount
1270,703,down,0,CellCount
192,187,down,0,CellCount
194,188,down,0,CellCount
390,286,down,0,CellCount
196,189,down,2,CellCount
198,19,down,0,CellCount
1266,701,down,0,CellCount
200,190,down,0,CellCount
1272,704,down,0,CellCount
202,191,down,0,CellCount
204,192,down,0,CellCount
206,193,down,0,CellCount
1262,70,down,0,CellCount
208,194,down,0,CellCount
210,195,down,0,CellCount
1260,7,down,0,CellCount
212,196,down,2,CellCount
214,197,down,0,CellCount
1258,699,down,0,CellCount
1264,700,down,0,CellCount
1242,690,down,0,CellCount
124,156,down,0,CellCount
122,155,down,0,CellCount
34,115,down,0,CellCount
1348,90,down,0,CellCount
36,116,down,4,CellCount
38,117,down,0,CellCount
1346,9,down,4,CellCount
40,118,down,0,CellCount
42,119,down,0,CellCount
1344,89,down,1,CellCount
44,12,down,0,CellCount
46,120,down,0,CellCount
1342,88,down,0,CellCount
48,121,down,0,CellCount
50,122,down,0,CellCount
1340,87,down,0,CellCount
52,123,down,0,CellCount
54,124,down,0,CellCount
1338,86,down,0,CellCount
56,125,down,0,CellCount
58,126,down,0,CellCount
32,114,down,0,CellCount
1350,91,down,0,CellCount
30,113,down,0,CellCount
28,112,down,0,CellCount
2,100,down,0,CellCount
1364,98,down,3,CellCount
4,101,down,0,CellCount
6,102,down,1,CellCount
1362,97,down,0,CellCount
8,103,down,0,CellCount
10,104,down,0,CellCount
1360,96,down,0,CellCount
12,105,down,2,CellCount
1336,85,down,0,CellCount
14,106,down,0,CellCount
16,107,down,0,CellCount
18,108,down,0,CellCount
1356,94,down,0,CellCount
20,109,down,0,CellCount
22,11,down,0,CellCount
1354,93,down,0,CellCount
24,110,down,0,CellCount
26,111,down,0,CellCount
1352,92,down,0,CellCount
1358,95,down,0,CellCount
1304,720,down,0,CellCount
60,127,down,0,CellCount
1334,84,down,0,CellCount
96,143,down,4,CellCount
98,144,down,0,CellCount
1316,76,down,4,CellCount
100,145,down,0,CellCount
102,146,down,2,CellCount
1314,75,down,0,CellCount
104,147,down,0,CellCount
106,148,down,0,CellCount
1312,74,down,0,CellCount
108,149,down,0,CellCount
110,15,down,0,CellCount
1310,73,down,0,CellCount
112,150,down,0,CellCount
114,151,down,0,CellCount
1308,722,down,0,CellCount
116,152,down,2,CellCount
118,153,down,0,CellCount
1306,721,down,1,CellCount
120,154,down,0,CellCount
1318,77,down,0,CellCount
94,142,down,0,CellCount
92,141,down,0,CellCount
1320,78,down,0,CellCount
64,129,down,0,CellCount
66,13,down,0,CellCount
1332,83,down,3,CellCount
68,130,down,0,CellCount
70,131,down,0,CellCount
1330,82,down,0,CellCount
72,132,down,0,CellCount
74,133,down,0,CellCount
1328,81,down,0,CellCount
62,128,down,0,CellCount
76,134,down,0,CellCount
1326,80,down,0,CellCount
80,136,down,0,CellCount
82,137,down,0,CellCount
1324,8,down,0,CellCount
84,138,down,0,CellCount
86,139,down,0,CellCount
1322,79,down,0,CellCount
88,14,down,0,CellCount
90,140,down,0,CellCount
78,135,down,0,CellCount
248,221,down,0,CellCount
910,538,down,0,CellCount
1206,674,down,0,CellCount
304,247,down,1,CellCount
1214,678,down,0,CellCount
354,27,down,0,CellCount
302,246,down,0,CellCount
1188,666,down,3,CellCount
300,245,down,0,CellCount
1216,679,down,0,CellCount
356,270,down,4,CellCount
298,244,down,0,CellCount
296,243,down,0,CellCount
358,271,down,0,CellCount
1218,68,down,2,CellCount
1186,665,down,1,CellCount
294,242,down,0,CellCount
352,269,down,0,CellCount
360,272,down,0,CellCount
332,26,down,0,CellCount
290,240,down,0,CellCount
362,273,down,0,CellCount
