,spid,direction,hit,meas
1038,597,down,0,NucMask
656,41,down,0,NucMask
658,411,down,0,NucMask
1036,596,down,0,NucMask
660,412,down,0,NucMask
662,413,down,0,NucMask
1034,595,down,0,NucMask
664,414,down,0,NucMask
666,415,down,0,NucMask
1032,594,down,0,NucMask
668,416,down,0,NucMask
670,417,down,0,NucMask
1030,593,down,0,NucMask
672,418,down,0,NucMask
674,419,down,0,NucMask
1028,592,down,0,NucMask
676,42,down,0,NucMask
678,420,down,0,NucMask
1026,591,down,0,NucMask
680,421,down,0,NucMask
1010,583,down,0,NucMask
780,477,down,0,NucMask
714,437,down,0,NucMask
1008,582,down,0,NucMask
752,464,down,0,NucMask
990,574,down,0,NucMask
754,465,down,0,NucMask
756,466,down,0,NucMask
988,573,down,0,NucMask
758,467,down,0,NucMask
760,468,down,0,NucMask
986,572,down,0,NucMask
762,469,down,0,NucMask
750,463,down,0,NucMask
764,47,down,0,NucMask
766,470,down,0,NucMask
768,471,down,0,NucMask
982,570,down,0,NucMask
770,472,down,0,NucMask
772,473,down,0,NucMask
980,57,down,0,NucMask
774,474,down,0,NucMask
776,475,down,0,NucMask
978,569,down,0,NucMask
984,571,down,0,NucMask
992,575,down,0,NucMask
748,462,down,0,NucMask
746,461,down,0,NucMask
718,439,down,0,NucMask
720,44,down,0,NucMask
1006,581,down,0,NucMask
722,440,down,0,NucMask
724,443,down,0,NucMask
1004,580,down,0,NucMask
726,45,down,0,NucMask
728,451,down,0,NucMask
1002,58,down,0,NucMask
730,452,down,0,NucMask
732,453,down,0,NucMask
1000,579,down,0,NucMask
734,454,down,0,NucMask
736,455,down,0,NucMask
998,578,down,1,NucMask
738,456,down,0,NucMask
740,457,down,0,NucMask
996,577,down,0,NucMask
742,459,down,0,NucMask
744,46,down,0,NucMask
994,576,down,0,NucMask
716,438,down,0,NucMask
1170,658,down,0,NucMask
1138,643,down,0,NucMask
1268,702,down,0,NucMask
1286,710,down,0,NucMask
160,172,down,0,NucMask
162,173,down,0,NucMask
1284,71,down,0,NucMask
164,174,down,0,NucMask
166,175,down,0,NucMask
1282,709,down,0,NucMask
168,176,down,0,NucMask
170,177,down,0,NucMask
1280,708,down,0,NucMask
172,178,down,0,NucMask
174,179,down,0,NucMask
1278,707,down,0,NucMask
176,18,down,0,NucMask
178,180,down,0,NucMask
1276,706,down,0,NucMask
180,181,down,0,NucMask
182,182,down,0,NucMask
1274,705,down,0,NucMask
158,171,down,0,NucMask
156,170,down,0,NucMask
1288,713,down,0,NucMask
154,17,down,0,NucMask
1302,72,down,0,NucMask
128,158,down,0,NucMask
130,159,down,1,NucMask
1300,719,down,0,NucMask
132,16,down,0,NucMask
134,160,down,0,NucMask
1298,718,down,0,NucMask
136,161,down,0,NucMask
138,162,down,0,NucMask
184,183,down,0,NucMask
1296,717,down,0,NucMask
142,164,down,0,NucMask
1294,716,down,0,NucMask
144,165,down,0,NucMask
146,166,down,0,NucMask
1292,715,down,0,NucMask
148,167,down,0,NucMask
150,168,down,0,NucMask
1290,714,down,0,NucMask
152,169,down,0,NucMask
140,163,down,0,NucMask
126,157,down,0,NucMask
186,184,down,0,NucMask
188,185,down,0,NucMask
222,200,down,0,NucMask
1254,697,down,0,NucMask
224,201,down,0,NucMask
226,202,down,0,NucMask
1252,695,down,0,NucMask
228,203,down,0,NucMask
230,204,down,0,NucMask
1250,694,down,0,NucMask
232,205,down,0,NucMask
234,21,down,0,NucMask
1248,693,down,0,NucMask
236,216,down,0,NucMask
238,217,down,0,NucMask
1246,692,down,0,NucMask
240,218,down,0,NucMask
242,219,down,0,NucMask
1244,691,down,0,NucMask
244,22,down,0,NucMask
246,220,down,0,NucMask
220,20,down,0,NucMask
1256,698,down,0,NucMask
218,199,down,0,NucMask
216,198,down,0,NucMask
190,186,down,0,NucMask
1270,703,down,0,NucMask
192,187,down,0,NucMask
194,188,down,0,NucMask
390,286,down,0,NucMask
196,189,down,0,NucMask
198,19,down,0,NucMask
1266,701,down,0,NucMask
200,190,down,0,NucMask
1272,704,down,0,NucMask
202,191,down,0,NucMask
204,192,down,0,NucMask
206,193,down,0,NucMask
1262,70,down,0,NucMask
208,194,down,0,NucMask
210,195,down,0,NucMask
1260,7,down,0,NucMask
212,196,down,0,NucMask
214,197,down,0,NucMask
1258,699,down,0,NucMask
1264,700,down,0,NucMask
1242,690,down,0,NucMask
124,156,down,0,NucMask
122,155,down,0,NucMask
34,115,down,0,NucMask
1348,90,down,0,NucMask
36,116,down,0,NucMask
38,117,down,0,NucMask
1346,9,down,0,NucMask
40,118,down,0,NucMask
42,119,down,0,NucMask
1344,89,down,0,NucMask
44,12,down,0,NucMask
46,120,down,0,NucMask
1342,88,down,0,NucMask
48,121,down,0,NucMask
50,122,down,0,NucMask
1340,87,down,0,NucMask
52,123,down,0,NucMask
54,124,down,0,NucMask
1338,86,down,0,NucMask
56,125,down,0,NucMask
58,126,down,0,NucMask
32,114,down,0,NucMask
1350,91,down,0,NucMask
30,113,down,0,NucMask
28,112,down,0,NucMask
2,100,down,0,NucMask
1364,98,down,0,NucMask
4,101,down,0,NucMask
6,102,down,0,NucMask
1362,97,down,0,NucMask
8,103,down,0,NucMask
10,104,down,0,NucMask
1360,96,down,0,NucMask
12,105,down,0,NucMask
1336,85,down,0,NucMask
14,106,down,0,NucMask
16,107,down,0,NucMask
18,108,down,0,NucMask
1356,94,down,0,NucMask
20,109,down,0,NucMask
22,11,down,0,NucMask
1354,93,down,0,NucMask
24,110,down,0,NucMask
26,111,down,0,NucMask
1352,92,down,0,NucMask
1358,95,down,0,NucMask
1304,720,down,0,NucMask
60,127,down,0,NucMask
1334,84,down,0,NucMask
96,143,down,0,NucMask
98,144,down,0,NucMask
1316,76,down,0,NucMask
100,145,down,0,NucMask
102,146,down,0,NucMask
1314,75,down,0,NucMask
104,147,down,0,NucMask
106,148,down,0,NucMask
1312,74,down,0,NucMask
108,149,down,0,NucMask
110,15,down,1,NucMask
1310,73,down,0,NucMask
112,150,down,0,NucMask
114,151,down,0,NucMask
1308,722,down,0,NucMask
116,152,down,0,NucMask
118,153,down,0,NucMask
1306,721,down,0,NucMask
120,154,down,0,NucMask
1318,77,down,0,NucMask
94,142,down,0,NucMask
92,141,down,0,NucMask
1320,78,down,0,NucMask
64,129,down,0,NucMask
66,13,down,0,NucMask
1332,83,down,0,NucMask
68,130,down,0,NucMask
70,131,down,0,NucMask
1330,82,down,0,NucMask
72,132,down,0,NucMask
74,133,down,0,NucMask
1328,81,down,0,NucMask
62,128,down,0,NucMask
76,134,down,0,NucMask
1326,80,down,0,NucMask
80,136,down,0,NucMask
82,137,down,0,NucMask
1324,8,down,0,NucMask
84,138,down,0,NucMask
86,139,down,0,NucMask
1322,79,down,0,NucMask
88,14,down,0,NucMask
90,140,down,0,NucMask
78,135,down,0,NucMask
248,221,down,0,NucMask
910,538,down,0,NucMask
1206,674,down,0,NucMask
304,247,down,0,NucMask
1214,678,down,0,NucMask
354,27,down,0,NucMask
302,246,down,0,NucMask
1188,666,down,0,NucMask
300,245,down,0,NucMask
1216,679,down,0,NucMask
356,270,down,0,NucMask
298,244,down,0,NucMask
296,243,down,0,NucMask
358,271,down,0,NucMask
1218,68,down,0,NucMask
1186,665,down,0,NucMask
294,242,down,0,NucMask
352,269,down,0,NucMask
360,272,down,0,NucMask
332,26,down,0,NucMask
290,240,down,0,NucMask
362,273,down,0,NucMask
1184,664,down,0,NucMask
288,24,down,0,NucMask
1222,681,down,0,NucMask
286,239,down,0,NucMask
364,274,down,0,NucMask
366,275,down,0,NucMask
284,238,down,0,NucMask
1224,682,down,0,NucMask
1182,663,down,0,NucMask
282,237,down,0,NucMask
368,276,down,0,NucMask
292,241,down,0,NucMask
280,236,down,0,NucMask
306,248,down,0,NucMask
1212,677,down,0,NucMask
1200,671,down,0,NucMask
334,260,down,0,NucMask
330,259,down,0,NucMask
1198,670,down,0,NucMask
328,258,down,0,NucMask
336,261,down,0,NucMask
1202,672,down,0,NucMask
326,257,down,0,NucMask
338,262,down,0,NucMask
1196,67,down,0,NucMask
324,256,down,0,NucMask
1204,673,down,0,NucMask
322,255,down,0,NucMask
340,263,down,0,NucMask
1190,667,down,0,NucMask
320,254,down,0,NucMask
318,253,down,0,NucMask
1194,669,down,0,NucMask
344,265,down,0,NucMask
316,252,down,0,NucMask
1208,675,down,0,NucMask
314,251,down,0,NucMask
346,266,down,0,NucMask
1192,668,down,0,NucMask
348,267,down,0,NucMask
312,250,down,0,NucMask
1210,676,down,0,NucMask
310,25,down,0,NucMask
308,249,down,0,NucMask
350,268,down,0,NucMask
342,264,down,0,NucMask
1226,683,down,0,NucMask
1220,680,down,0,NucMask
270,231,down,0,NucMask
374,279,down,0,NucMask
272,232,down,0,NucMask
254,224,down,0,NucMask
1178,661,down,0,NucMask
1230,685,down,0,NucMask
1238,689,down,0,NucMask
1176,660,down,0,NucMask
1236,688,down,0,NucMask
386,284,down,0,NucMask
258,226,down,0,NucMask
376,28,down,0,NucMask
266,23,down,0,NucMask
268,230,down,0,NucMask
1232,686,down,0,NucMask
256,225,down,0,NucMask
378,280,down,0,NucMask
384,283,down,0,NucMask
278,235,down,0,NucMask
1174,66,down,0,NucMask
260,227,down,0,NucMask
370,277,down,0,NucMask
250,222,down,0,NucMask
262,228,down,0,NucMask
1240,69,down,0,NucMask
1180,662,down,0,NucMask
382,282,down,0,NucMask
1172,659,down,0,NucMask
380,281,down,0,NucMask
252,223,down,0,NucMask
372,278,down,0,NucMask
276,234,down,0,NucMask
1228,684,down,0,NucMask
388,285,down,0,NucMask
274,233,down,0,NucMask
1234,687,down,0,NucMask
264,229,down,0,NucMask
919,541,up,0,NucMask
1193,668,up,0,NucMask
965,562,up,0,NucMask
1327,80,up,0,NucMask
1359,95,up,0,NucMask
1325,8,up,0,NucMask
921,542,up,0,NucMask
963,561,up,0,NucMask
1141,644,up,0,NucMask
1361,96,up,0,NucMask
935,549,up,0,NucMask
967,563,up,0,NucMask
1133,640,up,0,NucMask
1365,98,up,4,NucMask
977,568,up,2,NucMask
1317,76,up,4,NucMask
913,539,up,0,NucMask
975,567,up,2,NucMask
1135,641,up,3,NucMask
1169,657,up,0,NucMask
1319,77,up,0,NucMask
1197,67,up,4,NucMask
973,566,up,0,NucMask
915,54,up,0,NucMask
1363,97,up,0,NucMask
1321,78,up,2,NucMask
971,565,up,0,NucMask
1137,642,up,0,NucMask
1173,659,up,0,NucMask
961,560,up,0,NucMask
1195,669,up,0,NucMask
969,564,up,0,NucMask
917,540,up,4,NucMask
1323,79,up,0,NucMask
1139,643,up,0,NucMask
1167,656,up,1,NucMask
1165,655,up,0,NucMask
1145,646,up,0,NucMask
1143,645,up,0,NucMask
929,546,up,0,NucMask
1151,649,up,0,NucMask
1185,664,up,0,NucMask
945,553,up,3,NucMask
1341,87,up,0,NucMask
943,552,up,0,NucMask
1179,661,up,0,NucMask
1153,65,up,0,NucMask
1343,88,up,0,NucMask
931,547,up,1,NucMask
1351,91,up,0,NucMask
1159,652,up,0,NucMask
941,551,up,0,NucMask
1183,663,up,0,NucMask
1345,89,up,0,NucMask
939,550,up,0,NucMask
1155,650,up,0,NucMask
933,548,up,0,NucMask
937,55,up,0,NucMask
1347,9,up,4,NucMask
1349,90,up,0,NucMask
1181,662,up,0,NucMask
1157,651,up,0,NucMask
1353,92,up,0,NucMask
1329,81,up,0,NucMask
947,554,up,0,NucMask
1161,653,up,0,NucMask
1191,667,up,0,NucMask
959,56,up,0,NucMask
1175,66,up,0,NucMask
1331,82,up,0,NucMask
957,559,up,4,NucMask
923,543,up,0,NucMask
1357,94,up,0,NucMask
1333,83,up,4,NucMask
955,558,up,0,NucMask
1189,666,up,4,NucMask
1163,654,up,2,NucMask
925,544,up,2,NucMask
1147,647,up,0,NucMask
953,557,up,0,NucMask
1335,84,up,0,NucMask
1355,93,up,0,NucMask
951,556,up,3,NucMask
1177,660,up,0,NucMask
1187,665,up,0,NucMask
1337,85,up,0,NucMask
1149,648,up,0,NucMask
949,555,up,0,NucMask
927,545,up,0,NucMask
1339,86,up,0,NucMask
1199,670,up,0,NucMask
1077,615,up,0,NucMask
1315,75,up,0,NucMask
1261,7,up,0,NucMask
